SystemCode,TransNumber,TransDate,TransType,UCode,snum,SRNNumber,SRNType,PONumber,I,ItemCode,Item_Locked,ItemStatus,AddValue,Filled_Quantity,Billed_Quantity,RCP_Quantity,ISS_Quantity,PCS_Quantity,Meter_Quantity,RCP_Price,ISS_Price,RCP_Amount,ISS_Amount,Pack_Contains,KGContains,Packing,Rate_ED_Inv,Value_ED_INV,Rate_STD_Cost,Value_STD_Cost,Rate_NSales,Value_NSales,Sale_Price,ST_Rate,ST_Value,ST_Percent,ST_Amount,ST_Percent_A,ED_Rate,ED_Value,ED_Percent,ED_Amount,Freight_Amount,OT_Amount,Avg_Rate,Avg_Amount,ReceiptCode,IssueCode,WIPCode,COGSCode,SalesTaxCode,ExciseCode,SaleCode,ProcessCode,FreightCode,OtherCode,UPBillCode,U_STDRate,U_STDR_Process,SchemeRate,SchemeAmount,SchemeGrossTotal,SchemeTransNumber,Contain,ForExRate,ForExAmount,Calc_rate,Qty_used,OQty_Used,ScheduleDate,ScheduleQty,BackLog,Current_DP,Hold,USD,OJobQty,Status,Deal_No_DT,DealSize_DT,Log_Qty,PrintedType,Deal_Price,zrno
03,22070022,7/5/2022,0,Zakir,1,,L,,,95000503731,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,Pcs,20884.5,83538,0,0,0,83538,0,0,0,0,0,0,4.5,87297.21,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,0,0,7/5/2022,1,0,0,,,0,,,,0,Printed,0,32243
03,22070023,7/5/2022,0,Aimal,0,,L,,,96000200032,0,0,0,11378,0,0,15000,0,0,0,0,0,0,15000,1,Kgs,455,6825000,0,0,0,6825000,0,0,0,0,0,0,0,6825000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,10334,0,7/7/2022,15000,0,0,,,0,,,,0,Printed,0,32668
03,22070023,7/5/2022,0,Aimal,1,,L,,,96000200065,0,0,0,3786,0,0,10000,0,0,0,0,0,0,10000,1,Kgs,455,4550000,0,0,0,4550000,0,0,0,0,0,0,0,4550000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,3786,0,,10000,0,3786,,,0,,,,0,Printed,0,32669
03,22070024,7/5/2022,0,Rabab Saleem,0,,L,,,95000103199,0,0,0,991.28,0,0,500,0,0,0,0,0,0,500,1,Kgs,910,455000,0,0,0,455000,0,0,0,0,0,0,0,455000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,495.64,0,12/30/3799,500,0,0,,,0,,,,0,Printed,0,32256
03,22070025,7/5/2022,0,Rabab Saleem,0,,L,,,95000101175,0,0,0,955.92,0,0,500,0,0,0,0,0,0,500,1,Kgs,765,382500,0,0,0,382500,0,0,0,0,0,0,0,382500,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,477.96,0,12/30/3799,500,0,0,,,0,,,,0,Printed,0,32257
03,22070026,7/5/2022,0,Rabab Saleem,0,,L,,,95000102871,0,0,0,2461.54,0,0,2500,0,0,0,0,0,0,2500,1,Kgs,535,1337500,0,0,0,1337500,0,0,0,0,0,0,0,1337500,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,2403.52,0,1/0/1900,2500,0,0,,,0,,,,0,Printed,0,33421
03,22070027,7/5/2022,0,Rabab Saleem,0,,L,,,95000101250,0,0,0,2051.94,0,0,1000,0,0,0,0,0,0,1000,1,Kgs,640,640000,0,0,0,640000,0,0,0,0,0,0,0,640000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1025.97,0,1/0/1900,1000,0,0,,,0,,,,0,Printed,0,32299
03,22070028,7/5/2022,0,Rabab Saleem,0,,L,,,95000103825,0,0,0,511.78,0,0,250,0,0,0,0,0,0,250,1,Kgs,715,178750,0,0,0,178750,0,0,0,0,0,0,0,178750,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,255.89,0,1/0/1900,250,0,0,,,0,,,,0,Printed,0,32260
03,22070029,7/5/2022,0,Rabab Saleem,0,,L,,,95000103826,0,0,0,481.7,0,0,250,0,0,0,0,0,0,250,1,Kgs,715,178750,0,0,0,178750,0,0,0,0,0,0,0,178750,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,240.85,0,1/0/1900,250,0,0,,,0,,,,0,Printed,0,32261
03,22070030,7/5/2022,0,Rabab Saleem,0,,L,,,95000103007,0,0,0,543.57,0,0,500,0,0,0,0,0,0,500,1,Kgs,715,357500,0,0,0,357500,0,0,0,0,0,0,0,357500,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,543.57,0,,500,0,0,,,0,,,,0,Printed,0,34400
03,22070031,7/6/2022,0,Rabab Saleem,0,,L,,,95000103435,0,0,0,6175.92,0,0,3000,0,0,0,0,0,0,3000,1,Kgs,825,2475000,0,0,0,2475000,0,0,0,0,0,0,0,2475000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,3087.96,0,12/30/3799,3000,0,0,,,0,,,,0,Printed,0,32265
03,22070032,7/6/2022,0,Rabab Saleem,0,,L,,,95000101726,0,0,0,3696.06,0,0,3500,0,0,0,0,0,0,3500,1,Kgs,536,1876000,0,0,0,1876000,0,0,0,0,0,0,0,1876000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,3570.86,0,12/30/3799,3500,0,0,,,0,,,,0,Printed,0,32305
03,22070033,7/7/2022,0,Rabab Saleem,0,,L,,,95000703749,0,0,0,163.6,0,0,85,0,0,0,0,0,0,85,1,Kgs,15,1275,0,0,0,1275,0,0,0,0,0,0,0,1275,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,81.8,0,12/30/3799,85,0,0,,,0,,,,0,Printed,0,32276
03,22070033,7/7/2022,0,Rabab Saleem,1,,L,,,95000703109,0,0,0,195.12,0,0,95,0,0,0,0,0,0,95,1,Kgs,15,1425,0,0,0,1425,0,0,0,0,0,0,0,1425,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,97.56,0,12/30/3799,95,0,0,,,0,,,,0,Printed,0,32277
03,22070034,7/7/2022,0,Rabab Saleem,0,,L,,,95000700002,0,0,0,1989,0,0,1000,0,0,0,0,0,0,1000,1,Kgs,530,530000,0,0,0,530000,0,0,0,0,0,0,0,530000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,994.5,0,12/30/3799,1000,0,0,,,0,,,,0,Printed,0,32278
03,22070035,7/7/2022,0,Rabab Saleem,0,,L,,,95000102787,0,0,0,301.1,0,0,210,25000,0,0,0,0,0,210,1,Pcs,6.18,154500,0,0,0,154500,0,0,0,0,0,0,0,154500,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,207.2,0,1/0/1900,210,0,0,,,0,,,,0,Printed,0,32905
03,22070036,7/7/2022,0,Rabab Saleem,0,,L,,,95000103405,0,0,0,1523.1,0,0,1540,170000,0,0,0,0,0,1540,1,Pcs,6.18,1050600,0,0,0,1050600,0,0,0,0,0,0,0,1050600,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1523.1,0,12/30/3799,1540,0,0,,,0,,,,0,Printed,0,33733
